name_ru,name_eng
Ильмир,Ilmir
Ильназ,Ilnaz
Илья,Ilja
Илия,Ilija
Ильяс,Iljas
Иннокентий,Innokentij
Инок,Inok
Иоанн,Ioann
Иоахим,Ioahim
Иов,Iov
Иоиль,Ioil
Ион,Ion
Иона,Iona
Ионафан,Ionafan
Иосафат,Iosafat
Иосип,Iosip
Иосиф,Iosif
Ипат,Ipat
Ипатий,Ipatij
Ипполит,Ippolit
Ираклий,Iraklij
Иринарх,Irinarh
Ириней,Irinej
Ирод,Irod
Иродион,Irodion
Исаак,Isaak
Исаакий,Isaakij
Исаия,Isaija
Исайя,Isajja
Исай,Isaj
Исак,Isak
Исакий,Isakij
Исидор,Isidor
Искандер,Iskander
Ислам,Islam
Исмаил,Ismail
Иустин,Iustin
Йоллы,Jolly
Йон,Jon
Йонас,Jonas
Казимир,Kazimir
Калина,Kalina
Каллимах,Kallimah
Каллиник,Kallinik
Каллиопий,Kalliopij
Каллист,Kallist
Каллистрат,Kallistrat
Каллисфен,Kallisfen
Калуф,Kaluf
Камил,Kamil
Камиль,Kamil
Кандидий,Kandidij
Кантидиан,Kantidian
Капик,Kapik
Капитон,Kapiton
Карел,Karel
Карион,Karion
Карл,Karl
Карп,Karp
Каспар,Kaspar
Кастрихий,Kastrihij
Касьян,Kasjan
Кев,Kev
Кевин,Kevin
Кен,Ken
Кеннет,Kennet
Кенни,Kenni
Ким,Kim
Киприан,Kiprian
Кир,Kir
Кирей,Kirej
Кириак,Kiriak
Кирик,Kirik
Кирила,Kirila
Кирилл,Kirill
Кирсан,Kirsan
Кит,Kit
Клавдий,Klavdij
Кларенс,Klarens
Клем,Klem
Клементий,Klementij
Клим,Klim
Климент,Kliment
Климентий,Klimentij
Клиффорд,Klifford
Клод,Klod
Клэренс,Klerens
Козьма,Kozma
Колин,Kolin
Кондрат,Kondrat
Кондратий,Kondratij
Конан,Konan
Коннор,Konnor
Конон,Konon
Конрад,Konrad
Константин,Konstantin
Корней,Kornej
Корнелий,Kornelij
Корнил,Kornil
Корнилий,Kornilij
Крис,Kris
Кристиан,Kristian
Кристоф,Kristof
Кристофер,Kristofer
Ксаверий,Ksaverij
Ксенофонт,Ksenofont
Кузьма,Kuzma
Куприян,Kuprijan
Лавр,Lavr
Лаврентий,Lavrentij
Ладимир,Ladimir
Лазарь,Lazar
Лайонел,Lajonel
Ламберт,Lambert
Ларион,Larion
Лев,Lev
Леван,Levan
Левон,Levon
Лео,Leo
Леон,Leon
Леонард,Leonard
Леонардо,Leonardo
Леонид,Leonid
Леонтий,Leontij
Леопольд,Leopold
Лесли,Lesli
Лионель,Lionel
Логвин,Logvin
Лонгин,Longin
Лоренс,Lorens
Лоуренс,Lourens
Лоренцо,Lorentso
Лу,Lu
Луи,Lui
Луис,Luis
Лука,Luka
Лукан,Lukan
Лукас,Lukas
Лукьян,Lukjan
Льюис,Ljuis
Льюк,Ljuk
Любим,Ljubim
Любомир,Ljubomir
Любомысл,Ljubomysl
Людвиг,Ljudvig
Люк,Ljuk
